Output Data (20 mutations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d sum True,d sum MV,d sum DBMC,d sym Mc1,d sum mc2,d sum mc3,d sum mc4,d sum mc5,d MV,d DBMC,d mc1,d mc2,d mc3,d mc4,d mc5,d i1,d i2,d i3,d i4,d i5,an MV,an DBMC,an mc1,an mc2,an mc3,an mc4,an mc5,an i1,an i2,an i3,an i4,an i5,c MV,c DBMC,c mc1,c mc2,c mc3,c mc4,c mc5,c i1,c i2,c i3,c i4,c i5,combined(0) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.3) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.5) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(0.7) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,combined(1) MV,comb dbmcc,comb mc1,comb mc2,comb mc3,comb mc4,comb mc5,comb i1,comb i2,comb i3,comb i4,comb i5,
704,1210,704,704,986,1198,1212,1184,166,92,92,102,158,166,164,106,68,92,398,40,0.752,0.968,0.968,0.784,0.552,0.544,0.544,0.944,0.808,0.92,0.832,0.976,0.919047619,0.947619048,0.947619048,0.9,0.923809524,0.885714286,0.804761905,0.919047619,0.866666667,0.919047619,0.861904762,0.961904762,0.906267645,0.948051948,0.948051948,0.942405421,0.910784867,0.906267645,0.907396951,0.94014681,0.961603614,0.948051948,0.77526821,0.97741389,0.931229457,0.907260525,0.907260525,0.959683794,0.937549407,0.934387352,0.935177866,0.889475316,0.946095503,0.92303486,0.712252964,0.949407115,0.947870665,0.880066242,0.880066242,0.97120271,0.955392434,0.953133823,0.953698475,0.85569432,0.935756762,0.906356801,0.670242801,0.930735931,0.964511873,0.85287196,0.85287196,0.982721626,0.97323546,0.971880294,0.972219085,0.821913324,0.925418021,0.889678742,0.628232637,0.912064747,0.989473684,0.812080537,0.812080537,1,1,1,1,0.77124183,0.90990991,0.864661654,0.565217391,0.884057971, 
626,630,520,630,720,814,968,1044,2,76,2,58,72,126,140,96,352,86,92,0,1,0.941747573,1,0.776699029,0.699029126,0.368932039,0.504854369,0.902912621,1,0.883495146,0.834951456,1,0.995238095,0.995238095,0.995238095,0.985714286,0.980952381,0.933333333,0.985714286,0.957142857,0.933333333,0.995238095,0.942857143,1,0.998870695,0.957086392,0.998870695,0.967250141,0.959345003,0.928853755,0.920948617,0.945793337,0.801242236,0.951439864,0.948051948,1,0.999209486,0.883931063,0.999209486,0.977075099,0.971541502,0.950197628,0.944664032,0.855805336,0.724361629,0.876007905,0.863636364,1,0.999435347,0.835160843,0.999435347,0.983625071,0.979672501,0.964426877,0.960474308,0.795813335,0.67310789,0.825719932,0.807359307,1,0.999661208,0.786390623,0.999661208,0.990175042,0.987803501,0.978656126,0.976284585,0.735821334,0.621854152,0.775431959,0.751082251,1,1,0.713235294,1,1,1,1,1,0.645833333,0.544973545,0.7,0.666666667,1, 
700,720,684,708,762,762,762,818,8,38,28,46,46,46,62,94,352,30,68,156,1,1,1,0.866666667,0.866666667,0.866666667,0.8,0.933333333,0.99047619,1,1,1,0.980952381,0.99047619,0.976190476,0.980952381,0.980952381,0.980952381,0.980952381,0.961904762,0.928571429,0.976190476,0.971428571,0.971428571,0.995482778,0.978543196,0.984189723,0.974025974,0.974025974,0.974025974,0.96499153,0.946922643,0.801242236,0.983060418,0.961603614,0.911914173,0.996837945,0.979372761,0.986102618,0.981818182,0.981818182,0.981818182,0.975494071,0.93257062,0.738142292,0.969392292,0.956906313,0.876976285,0.997741389,0.979925804,0.987377881,0.987012987,0.987012987,0.987012987,0.982495765,0.923002606,0.696075663,0.960280209,0.95377478,0.853684359,0.998644833,0.980478847,0.988653143,0.992207792,0.992207792,0.992207792,0.989497459,0.913434591,0.654009034,0.951168125,0.950643246,0.830392434,1,0.981308411,0.990566038,1,1,1,1,0.899082569,0.590909091,0.9375,0.945945946,0.795454545, 
884,728,716,716,1116,1146,1130,1122,192,186,186,88,80,92,88,172,150,28,272,262,1,0.947368421,0.947368421,0.747368421,0.747368421,0.747368421,0.747368421,0.884210526,0.873684211,0.957894737,0.957894737,0.915789474,0.952380952,0.928571429,0.928571429,0.952380952,0.942857143,0.942857143,0.904761905,0.923809524,0.866666667,0.952380952,0.9,0.942857143,0.891586674,0.894974591,0.894974591,0.950310559,0.954827781,0.948051948,0.950310559,0.902879729,0.915302089,0.984189723,0.846414455,0.852060982,0.861610672,0.855295773,0.855295773,0.965217391,0.968379447,0.963636364,0.965217391,0.843780516,0.861065445,0.988932806,0.782073452,0.801954499,0.84162667,0.828843228,0.828843228,0.97515528,0.97741389,0.974025974,0.97515528,0.804381041,0.824907682,0.992094862,0.73917945,0.768550176,0.821642669,0.802390682,0.802390682,0.985093168,0.986448334,0.984415584,0.985093168,0.764981566,0.788749919,0.995256917,0.696285448,0.735145854,0.791666667,0.762711864,0.762711864,1,1,1,1,0.705882353,0.734513274,1,0.631944444,0.68503937, 
840,724,654,714,714,752,754,758,144,126,126,126,114,112,114,150,108,170,214,198,1,1,1,1,1,1,1,1,1,1,1,1,0.885714286,0.895238095,0.885714286,0.885714286,0.89047619,0.895238095,0.89047619,0.933333333,0.947619048,0.933333333,0.90952381,0.957142857,0.918690006,0.928853755,0.928853755,0.928853755,0.935629588,0.936758893,0.935629588,0.915302089,0.939017504,0.904009034,0.879164314,0.888198758,0.870110031,0.87125026,0.880334615,0.880334615,0.888274045,0.889064559,0.888274045,0.8360603,0.869970481,0.819472991,0.740788154,0.78973913,0.837723381,0.83284793,0.847988521,0.847988521,0.856703683,0.857268336,0.856703683,0.78323244,0.823939132,0.763115628,0.648537381,0.724099379,0.805336731,0.7944456,0.815642428,0.815642428,0.825133321,0.825472112,0.825133321,0.73040458,0.777907783,0.706758266,0.556286608,0.658459627,0.756756757,0.736842105,0.767123288,0.767123288,0.777777778,0.777777778,0.777777778,0.651162791,0.708860759,0.622222222,0.417910448,0.56, 
1432,924,608,636,690,672,1268,1604,398,242,250,242,266,112,94,352,258,182,350,290,0.962732919,0.962732919,0.962732919,0.950310559,0.919254658,0.906832298,0.863354037,0.97515528,0.962732919,0.944099379,0.98136646,0.962732919,0.919047619,0.928571429,0.938095238,0.938095238,0.904761905,0.938095238,0.904761905,0.942857143,0.928571429,0.919047619,0.880952381,0.933333333,0.77526821,0.863354037,0.858836815,0.863354037,0.849802372,0.936758893,0.946922643,0.801242236,0.854319593,0.897233202,0.802371542,0.836250706,0.799593824,0.877877238,0.874715183,0.875945459,0.867254298,0.94388912,0.96284585,0.823998057,0.865265095,0.890132207,0.81245373,0.85108978,0.815810901,0.887559372,0.885300761,0.884339741,0.878888916,0.948642605,0.973461321,0.839168604,0.872562096,0.88539821,0.819175189,0.860982496,0.832027977,0.897241505,0.895886339,0.892734022,0.890523534,0.953396089,0.984076793,0.854339151,0.879859096,0.880664213,0.825896648,0.870875212,0.856353591,0.911764706,0.911764706,0.905325444,0.90797546,0.960526316,1,0.877094972,0.890804598,0.873563218,0.835978836,0.885714286, 
502,98,98,98,98,98,98,518,90,90,90,90,90,90,116,106,106,90,110,90,0.913043478,0.913043478,0.913043478,0.913043478,0.913043478,0.913043478,0.217391304,0.760869565,0.760869565,0.913043478,0.847826087,0.913043478,0.961904762,0.961904762,0.961904762,0.961904762,0.961904762,0.961904762,0.961904762,0.938095238,0.938095238,0.976190476,0.919047619,0.961904762,0.949181254,0.949181254,0.949181254,0.949181254,0.949181254,0.949181254,0.934500282,0.94014681,0.94014681,0.949181254,0.937888199,0.949181254,0.90673457,0.90673457,0.90673457,0.90673457,0.90673457,0.90673457,0.954150198,0.879155398,0.879155398,0.895619538,0.86733255,0.90673457,0.878436781,0.878436781,0.878436781,0.878436781,0.878436781,0.878436781,0.967250141,0.838494457,0.838494457,0.859911728,0.820295451,0.878436781,0.850138991,0.850138991,0.850138991,0.850138991,0.850138991,0.850138991,0.980350085,0.797833517,0.797833517,0.824203917,0.773258352,0.850138991,0.807692308,0.807692308,0.807692308,0.807692308,0.807692308,0.807692308,1,0.736842105,0.736842105,0.770642202,0.702702703,0.807692308, 
838,702,624,702,724,724,896,962,120,98,120,122,122,112,38,204,20,262,98,254,1,1,1,1,1,0.714285714,1,1,1,1,1,1,0.947619048,1,0.947619048,0.942857143,0.942857143,0.947619048,0.90952381,0.942857143,0.995238095,0.928571429,1,0.947619048,0.932241671,0.944664032,0.932241671,0.931112366,0.931112366,0.936758893,0.978543196,0.884810841,0.988706945,0.852060982,0.944664032,0.856578204,0.909712027,0.918407679,0.909712027,0.928701733,0.928701733,0.955731225,0.984980237,0.848458498,0.98856545,0.811827303,0.918407679,0.804482792,0.894692264,0.900903444,0.894692264,0.927094644,0.927094644,0.968379447,0.989271598,0.824223602,0.98847112,0.78500485,0.900903444,0.769752517,0.879672501,0.883399209,0.879672501,0.925487556,0.925487556,0.981027668,0.993562959,0.799988707,0.988376789,0.758182397,0.883399209,0.735022242,0.857142857,0.857142857,0.857142857,0.923076923,0.923076923,1,1,0.763636364,0.988235294,0.717948718,0.857142857,0.682926829, 
764,896,634,712,832,870,864,868,196,176,186,70,96,94,96,24,228,122,226,164,0.709090909,1,0.436363636,0.709090909,0.709090909,0.709090909,0.709090909,0.963636364,1,0.963636364,1,1,0.923809524,0.99047619,0.914285714,0.923809524,0.861904762,0.866666667,0.861904762,0.952380952,0.952380952,0.923809524,0.957142857,0.966666667,0.889328063,0.900621118,0.894974591,0.960474308,0.945793337,0.946922643,0.945793337,0.986448334,0.871259176,0.931112366,0.872388481,0.907396951,0.820834729,0.73827792,0.702271687,0.972332016,0.962055336,0.96284585,0.962055336,0.990513834,0.712365895,0.809204399,0.713796937,0.739608245,0.775172506,0.630049121,0.573803085,0.980237154,0.972896669,0.973461321,0.972896669,0.993224167,0.606437041,0.727932421,0.608069241,0.627749108,0.729510283,0.521820322,0.445334482,0.988142292,0.983738001,0.984076793,0.983738001,0.9959345,0.500508187,0.646660442,0.502341544,0.515889971,0.661016949,0.359477124,0.252631579,1,1,1,1,1,0.341614907,0.524752475,0.34375,0.348101266, 
562,760,590,630,642,630,630,634,88,14,20,26,20,20,22,0,48,214,126,174,1,1,1,1,1,1,1,1,1,1,1,1,0.952380952,0.966666667,0.952380952,0.938095238,0.952380952,0.952380952,0.947619048,1,0.923809524,0.938095238,0.933333333,0.985714286,0.950310559,0.992094862,0.988706945,0.985319029,0.988706945,0.988706945,0.98757764,1,0.972896669,0.879164314,0.928853755,0.901750423,0.951581028,0.994466403,0.992094862,0.98972332,0.992094862,0.992094862,0.991304348,1,0.974050924,0.788017759,0.875197628,0.817891963,0.952428007,0.996047431,0.994353473,0.992659514,0.994353473,0.994353473,0.99378882,1,0.974820427,0.72725339,0.839426877,0.761986323,0.953274986,0.997628458,0.996612084,0.995595709,0.996612084,0.996612084,0.996273292,1,0.975589931,0.66648902,0.803656126,0.706080683,0.954545455,1,1,1,1,1,1,1,0.976744186,0.575342466,0.75,0.622222222, 
580,580,468,472,530,530,616,966,0,68,68,54,54,20,130,190,0,68,200,122,1,1,1,0.952095808,0.952095808,0.952095808,0.419161677,0.946107784,1,1,0.934131737,0.97005988,1,0.966666667,0.966666667,0.947619048,0.947619048,0.952380952,0.904761905,0.880952381,1,0.966666667,0.871428571,0.904761905,1,0.961603614,0.961603614,0.969508752,0.969508752,0.988706945,0.926595144,0.89271598,1,0.961603614,0.887069452,0.931112366,1,0.961053564,0.961053564,0.973100571,0.973100571,0.988368154,0.948616601,0.897314979,1,0.961053564,0.880948617,0.920286943,1,0.960686864,0.960686864,0.975495117,0.975495117,0.988142292,0.963297572,0.900380978,1,0.960686864,0.876868059,0.913069995,1,0.960320165,0.960320165,0.977889663,0.977889663,0.987916431,0.977978543,0.903446978,1,0.960320165,0.872787502,0.905853047,1,0.959770115,0.959770115,0.981481481,0.981481481,0.98757764,1,0.908045977,1,0.959770115,0.866666667,0.895027624, 
710,1170,672,744,1096,1038,1100,1066,198,40,70,158,156,164,164,182,124,74,222,108,0.733333333,0.866666667,0.866666667,0.283333333,0.35,0.35,0.35,0.941666667,0.816666667,0.95,1,0.958333333,0.942857143,0.966666667,0.914285714,0.880952381,0.942857143,0.80952381,0.923809524,0.928571429,0.90952381,0.923809524,0.985714286,0.933333333,0.888198758,0.97741389,0.960474308,0.910784867,0.911914173,0.907396951,0.907396951,0.897233202,0.92998306,0.958215697,0.874647092,0.939017504,0.92173913,0.965270804,0.884576914,0.937549407,0.938339921,0.935177866,0.935177866,0.89711086,0.928346633,0.94655744,0.814500155,0.935538059,0.944099379,0.957175414,0.833978651,0.955392434,0.955957086,0.953698475,0.953698475,0.897029299,0.927255681,0.938785268,0.774402198,0.93321843,0.966459627,0.949080023,0.783380388,0.97323546,0.973574252,0.972219085,0.972219085,0.896947738,0.926164729,0.931013096,0.73430424,0.9308988,1,0.936936937,0.707482993,1,1,1,1,0.896825397,0.924528302,0.919354839,0.674157303,0.927419355, 
456,482,470,482,482,600,608,968,10,6,10,10,78,80,158,112,92,20,68,164,1,1,1,1,0.937007874,0.937007874,0.818897638,0.976377953,0.94488189,1,0.937007874,1,0.976190476,0.985714286,0.976190476,0.976190476,0.966666667,0.957142857,0.976190476,0.980952381,0.933333333,0.980952381,0.961904762,0.952380952,0.994353473,0.996612084,0.994353473,0.994353473,0.955957086,0.954827781,0.910784867,0.936758893,0.948051948,0.988706945,0.961603614,0.907396951,0.996047431,0.997628458,0.996047431,0.996047431,0.96916996,0.968379447,0.937549407,0.939700691,0.944886364,0.982934556,0.97312253,0.913280055,0.997176736,0.998306042,0.997176736,0.997176736,0.977978543,0.97741389,0.955392434,0.941661889,0.942775974,0.979086297,0.980801807,0.917202125,0.998306042,0.998983625,0.998306042,0.998306042,0.986787126,0.986448334,0.97323546,0.943623088,0.940665584,0.975238038,0.988481084,0.921124195,1,1,1,1,1,1,1,0.946564885,0.9375,0.969465649,1,0.927007299, 
616,626,602,626,630,670,670,832,40,24,40,20,40,40,90,158,178,78,72,130,1,1,1,1,0.978723404,0.978723404,0.914893617,0.957446809,1,1,0.978723404,1,0.947619048,0.971428571,0.947619048,0.952380952,0.952380952,0.952380952,0.947619048,0.861904762,0.938095238,0.938095238,0.947619048,0.880952381,0.97741389,0.986448334,0.97741389,0.988706945,0.97741389,0.97741389,0.949181254,0.910784867,0.899491813,0.955957086,0.959345003,0.926595144,0.981031829,0.978268936,0.981031829,0.992094862,0.984189723,0.984189723,0.964426877,0.907549407,0.864644269,0.954018445,0.953174155,0.885591391,0.983443787,0.972816004,0.983443787,0.994353473,0.988706945,0.988706945,0.974590627,0.905392434,0.841412573,0.952726018,0.949060257,0.858255555,0.985855746,0.967363072,0.985855746,0.996612084,0.993224167,0.993224167,0.984754376,0.90323546,0.818180877,0.951433591,0.944946358,0.83091972,0.989473684,0.959183673,0.989473684,1,1,1,1,0.9,0.783333333,0.949494949,0.93877551,0.789915966, 
790,692,540,638,706,706,706,914,122,110,130,112,112,112,44,240,142,140,130,138,1,1,0.957746479,1,1,1,1,1,1,1,1,1,0.919047619,0.957142857,0.942857143,0.923809524,0.923809524,0.923809524,0.895238095,0.957142857,0.99047619,0.957142857,0.942857143,0.942857143,0.931112366,0.937888199,0.926595144,0.936758893,0.936758893,0.936758893,0.97515528,0.864483343,0.919819311,0.920948617,0.926595144,0.922077922,0.871366285,0.859378882,0.854677207,0.877606225,0.877606225,0.877606225,0.982608696,0.77154459,0.819906576,0.838300395,0.845838823,0.842676768,0.831535564,0.807039337,0.806731915,0.838171113,0.838171113,0.838171113,0.98757764,0.709585421,0.753298085,0.783201581,0.792001276,0.789742665,0.791704844,0.754699793,0.758786624,0.798736001,0.798736001,0.798736001,0.992546584,0.647626253,0.686689595,0.728102767,0.738163728,0.736808562,0.731958763,0.676190476,0.686868687,0.739583333,0.739583333,0.739583333,1,0.5546875,0.58677686,0.645454545,0.657407407,0.657407407, 
242,290,290,290,290,290,290,668,12,12,12,12,12,12,110,68,88,0,34,52,1,1,1,1,1,1,0.571428571,1,0.928571429,1,0.928571429,1,0.971428571,0.971428571,0.971428571,0.971428571,0.971428571,0.971428571,0.914285714,0.980952381,0.923809524,1,0.952380952,0.947619048,0.993224167,0.993224167,0.993224167,0.993224167,0.993224167,0.993224167,0.937888199,0.961603614,0.950310559,1,0.980801807,0.970638058,0.995256917,0.995256917,0.995256917,0.995256917,0.995256917,0.995256917,0.956521739,0.961357824,0.94666069,1,0.986561265,0.956805131,0.996612084,0.996612084,0.996612084,0.996612084,0.996612084,0.996612084,0.968944099,0.961193964,0.944227444,1,0.990400903,0.94758318,0.99796725,0.99796725,0.99796725,0.99796725,0.99796725,0.99796725,0.98136646,0.961030104,0.941794199,1,0.994240542,0.938361229,1,1,1,1,1,1,1,0.960784314,0.93814433,1,1,0.924528302, 
622,310,294,310,310,310,654,702,110,104,110,110,110,126,138,104,118,142,110,148,0.906542056,0.906542056,0.906542056,0.906542056,0.906542056,0.186915888,0.186915888,0.906542056,0.925233645,0.728971963,0.906542056,0.841121495,0.938095238,0.952380952,0.938095238,0.938095238,0.938095238,0.938095238,0.838095238,0.952380952,0.90952381,0.857142857,0.938095238,0.871428571,0.937888199,0.941276115,0.937888199,0.937888199,0.937888199,0.928853755,0.922077922,0.941276115,0.933370977,0.919819311,0.937888199,0.916431395,0.918683901,0.921055443,0.918683901,0.918683901,0.918683901,0.950197628,0.945454545,0.921055443,0.892875813,0.850953164,0.911784897,0.864642472,0.905881036,0.907574995,0.905881036,0.905881036,0.905881036,0.964426877,0.961038961,0.907574995,0.865879037,0.805042399,0.894382696,0.830116524,0.893078171,0.894094546,0.893078171,0.893078171,0.893078171,0.978656126,0.976623377,0.894094546,0.838882261,0.759131634,0.876980495,0.795590575,0.873873874,0.873873874,0.873873874,0.873873874,0.873873874,1,1,0.873873874,0.798387097,0.690265487,0.850877193,0.743801653, 
592,824,710,664,780,896,926,900,180,114,152,130,146,152,152,140,80,110,158,104,0.745614035,0.736842105,0.736842105,0.596491228,0.307017544,0.570175439,0.570175439,0.815789474,0.780701754,0.736842105,0.815789474,0.736842105,0.923809524,0.919047619,0.938095238,0.89047619,0.876190476,0.904761905,0.904761905,0.933333333,0.857142857,1,0.923809524,0.842857143,0.898362507,0.935629588,0.914172784,0.926595144,0.9175607,0.914172784,0.914172784,0.920948617,0.954827781,0.937888199,0.910784867,0.941276115,0.915370609,0.954940711,0.891920949,0.935940544,0.94229249,0.939920949,0.939920949,0.866092603,0.952422,0.877574371,0.891185771,0.948548453,0.926709343,0.967814794,0.877086392,0.942170811,0.95878035,0.957086392,0.957086392,0.829521927,0.950818146,0.837365152,0.878119706,0.953396678,0.938048078,0.980688876,0.862251835,0.948401078,0.97526821,0.974251835,0.974251835,0.792951252,0.949214292,0.797155933,0.865053642,0.958244904,0.95505618,1,0.84,0.957746479,1,1,1,0.738095238,0.946808511,0.736842105,0.845454545,0.965517241, 
864,824,728,804,844,838,1012,1372,94,144,106,100,90,156,162,298,266,74,54,172,0.943089431,0.943089431,0.861788618,0.861788618,0.861788618,0.487804878,0.788617886,0.926829268,0.983739837,0.959349593,1,0.959349593,0.928571429,0.938095238,0.904761905,0.919047619,0.904761905,0.914285714,0.933333333,0.914285714,0.895238095,0.947619048,0.985714286,0.961904762,0.946922643,0.918690006,0.94014681,0.943534726,0.949181254,0.911914173,0.908526256,0.831733484,0.849802372,0.958215697,0.969508752,0.902879729,0.957761104,0.928328906,0.947193676,0.954918753,0.956169997,0.938339921,0.935968379,0.828256604,0.848707814,0.956234859,0.971513269,0.912968191,0.964986745,0.934754839,0.951891587,0.962508104,0.960829159,0.955957086,0.954263128,0.825938684,0.847978109,0.9549143,0.972849614,0.919693833,0.972212386,0.941180772,0.956589497,0.970097455,0.965488321,0.973574252,0.972557877,0.823620765,0.847248404,0.953593741,0.974185959,0.926419474,0.983050847,0.950819672,0.963636364,0.981481481,0.972477064,1,1,0.820143885,0.846153846,0.951612903,0.976190476,0.936507937, 
470,524,456,524,612,674,600,858,18,68,18,46,98,84,98,132,20,88,142,88,1,1,1,0.865168539,0.460674157,0.494382022,0.797752809,0.91011236,1,1,1,0.797752809,0.957142857,0.980952381,0.957142857,0.947619048,0.942857143,0.957142857,0.895238095,0.966666667,0.980952381,0.957142857,0.980952381,0.957142857,0.989836251,0.961603614,0.989836251,0.974025974,0.944664032,0.95256917,0.944664032,0.925465839,0.988706945,0.950310559,0.919819311,0.950310559,0.992885375,0.960219304,0.992885375,0.981818182,0.961264822,0.966798419,0.961264822,0.920859795,0.979191636,0.937666371,0.841651296,0.921843897,0.994918125,0.959296431,0.994918125,0.987012987,0.972332016,0.976284585,0.972332016,0.917789099,0.972848096,0.929236912,0.789539285,0.902866123,0.996950875,0.958373557,0.996950875,0.992207792,0.983399209,0.985770751,0.983399209,0.914718403,0.966504557,0.920807453,0.737427275,0.883888348,1,0.956989247,1,1,1,1,1,0.91011236,0.956989247,0.908163265,0.659259259,0.855421687, 
670,724,716,724,724,724,966,1196,16,14,16,16,16,116,134,20,288,0,276,86,1,1,1,1,1,0.384615385,0.8,0.961538462,1,1,0.961538462,0.915384615,0.961904762,0.966666667,0.961904762,0.961904762,0.961904762,0.933333333,0.923809524,0.961904762,0.933333333,1,0.957142857,0.914285714,0.990965556,0.992094862,0.990965556,0.990965556,0.990965556,0.934500282,0.924336533,0.988706945,0.837380011,1,0.844155844,0.951439864,0.993675889,0.994466403,0.993675889,0.993675889,0.993675889,0.954150198,0.947035573,0.985063612,0.814236183,1,0.795827124,0.932425816,0.995482778,0.996047431,0.995482778,0.995482778,0.995482778,0.967250141,0.962168267,0.982634723,0.798806965,1,0.763607977,0.919749783,0.997289667,0.997628458,0.997289667,0.997289667,0.997289667,0.980350085,0.97730096,0.980205834,0.783377746,1,0.73138883,0.90707375,1,1,1,1,1,1,1,0.9765625,0.760233918,1,0.683060109,0.888059701, 
338,366,338,366,366,366,366,366,8,0,8,8,8,8,8,0,20,98,130,90,1,1,1,1,1,1,1,1,1,1,1,1,0.980952381,1,0.980952381,0.980952381,0.980952381,0.980952381,0.980952381,1,0.971428571,0.952380952,0.952380952,1,0.995482778,1,0.995482778,0.995482778,0.995482778,0.995482778,0.995482778,1,0.988706945,0.944664032,0.926595144,0.949181254,0.996837945,1,0.996837945,0.996837945,0.996837945,0.996837945,0.996837945,1,0.973538161,0.886884657,0.91891363,0.890046712,0.997741389,1,0.997741389,0.997741389,0.997741389,0.997741389,0.997741389,1,0.963425638,0.848365074,0.913792621,0.850623685,0.998644833,1,0.998644833,0.998644833,0.998644833,0.998644833,0.998644833,1,0.953313114,0.80984549,0.908671613,0.811200657,1,1,1,1,1,1,1,1,0.93814433,0.752066116,0.900990099,0.752066116, 
698,698,456,500,456,698,698,698,0,90,90,90,0,0,0,90,90,152,110,256,1,1,1,1,1,1,1,1,1,1,1,1,1,0.971428571,0.971428571,0.971428571,1,1,1,0.971428571,0.971428571,0.966666667,0.947619048,0.938095238,1,0.949181254,0.949181254,0.949181254,1,1,1,0.949181254,0.949181254,0.914172784,0.937888199,0.855448899,1,0.945870176,0.945870176,0.945870176,1,1,1,0.945870176,0.945870176,0.892698726,0.924168798,0.753927866,1,0.943662792,0.943662792,0.943662792,1,1,1,0.943662792,0.943662792,0.878382688,0.915022531,0.686247177,1,0.941455407,0.941455407,0.941455407,1,1,1,0.941455407,0.941455407,0.86406665,0.905876264,0.618566488,1,0.93814433,0.93814433,0.93814433,1,1,1,0.93814433,0.93814433,0.842592593,0.892156863,0.517045455, 
382,290,290,290,290,290,386,386,20,20,20,20,20,2,2,20,94,40,74,154,1,1,1,1,1,1,1,1,1,1,1,1,0.995238095,0.995238095,0.995238095,0.995238095,0.995238095,0.995238095,0.995238095,0.995238095,0.952380952,0.980952381,0.961904762,0.90952381,0.988706945,0.988706945,0.988706945,0.988706945,0.988706945,0.998870695,0.998870695,0.988706945,0.946922643,0.97741389,0.958215697,0.913043478,0.986325631,0.986325631,0.986325631,0.986325631,0.986325631,0.999209486,0.999209486,0.986325631,0.913665522,0.962371542,0.930073022,0.857701863,0.984738088,0.984738088,0.984738088,0.984738088,0.984738088,0.999435347,0.999435347,0.984738088,0.891494108,0.952343309,0.911311239,0.820807453,0.983150545,0.983150545,0.983150545,0.983150545,0.983150545,0.999661208,0.999661208,0.983150545,0.869322694,0.942315076,0.892549455,0.783913043,0.980769231,0.980769231,0.980769231,0.980769231,0.980769231,1,1,0.980769231,0.836065574,0.927272727,0.86440678,0.728571429, 
